timestamp,event_id,username,role,ip_address,country,user_agent,method,endpoint,status_code,login_result,failed_attempts,session_id,risk_level,threat_label
2026-08-04 09:00:00,EVT-1000,charlie,User,192.168.1.179,USA,Chrome Android,POST,/api/login,200,SUCCESS,0,SID-194919,Low,Normal
2026-08-04 09:00:37,EVT-1001,john,User,192.168.4.251,USA,Safari iPhone,POST,/api/login,200,SUCCESS,0,SID-108724,Low,Normal
2026-08-04 09:01:14,EVT-1002,guest,Guest,192.168.2.3,Singapore,Edge Windows,POST,/dashboard,200,SUCCESS,0,SID-389293,Low,Normal
2026-08-04 09:01:51,EVT-1003,david,Manager,192.168.2.175,Canada,Edge Windows,POST,/admin,200,SUCCESS,0,SID-212949,Low,Normal
2026-08-04 09:02:28,EVT-1004,bob,User,192.168.1.106,USA,Chrome Android,POST,/dashboard,200,SUCCESS,0,SID-867302,Low,Normal
2026-08-04 09:03:05,EVT-1005,bob,User,192.168.1.222,India,Chrome Android,POST,/api/login,200,SUCCESS,0,SID-185194,Low,Normal
2026-08-04 09:03:42,EVT-1006,bob,User,192.168.5.24,USA,Chrome/138 Windows,POST,/api/login,200,SUCCESS,0,SID-441885,Low,Normal
2026-08-04 09:04:19,EVT-1007,bob,User,192.168.7.70,Germany,Chrome/138 Windows,POST,/profile,401,FAILED,1,SID-659748,Medium,Suspicious Login
2026-08-04 09:04:56,EVT-1008,hrmanager,HR,192.168.9.99,Germany,Chrome/138 Windows,POST,/dashboard,401,FAILED,2,SID-768880,Medium,Suspicious Login
2026-08-04 09:05:33,EVT-1009,alice,User,192.168.2.200,Germany,Edge Windows,POST,/dashboard,200,SUCCESS,0,SID-616552,Low,Normal
2026-08-04 09:06:10,EVT-1010,david,Manager,192.168.6.188,India,Edge Windows,POST,/api/login,200,SUCCESS,0,SID-520421,Low,Normal
2026-08-04 09:06:47,EVT-1011,charlie,User,192.168.9.245,USA,Edge Windows,POST,/profile,200,SUCCESS,0,SID-562492,Low,Normal
2026-08-04 09:07:24,EVT-1012,john,User,192.168.8.220,Canada,Chrome Android,POST,/admin,200,SUCCESS,0,SID-834920,Low,Normal
2026-08-04 09:08:01,EVT-1013,finance,Finance,192.168.6.239,Germany,Edge Windows,POST,/api/login,200,SUCCESS,0,SID-551867,Low,Normal
2026-08-04 09:08:38,EVT-1014,guest,Guest,192.168.0.75,India,Chrome Android,POST,/profile,200,SUCCESS,0,SID-844001,Low,Normal
2026-08-04 09:09:15,EVT-1015,bob,User,192.168.4.29,Singapore,Chrome Android,POST,/profile,200,SUCCESS,0,SID-838604,Low,Normal
2026-08-04 09:09:52,EVT-1016,bob,User,192.168.1.154,Germany,Chrome Android,POST,/profile,200,SUCCESS,0,SID-792806,Low,Normal
2026-08-04 09:10:29,EVT-1017,admin,Administrator,192.168.1.10,Singapore,Edge Windows,POST,/api/login,200,SUCCESS,0,SID-487863,Low,Normal
2026-08-04 09:11:06,EVT-1018,admin,Administrator,203.0.113.55,India,Chrome Android,POST,/login,401,FAILED,1,SID-283767,High,Brute Force
2026-08-04 09:11:43,EVT-1019,admin,Administrator,203.0.113.55,UK,Firefox/141 Linux,POST,/api/login,401,FAILED,2,SID-282477,High,Brute Force
2026-08-04 09:12:20,EVT-1020,admin,User,203.0.113.55,Canada,Chrome/138 Windows,POST,/login,401,FAILED,3,SID-858348,High,Brute Force
2026-08-04 09:12:57,EVT-1021,admin,Guest,203.0.113.55,India,Chrome/138 Windows,POST,/login,401,FAILED,4,SID-642095,High,Brute Force
2026-08-04 09:13:34,EVT-1022,admin,User,203.0.113.55,USA,Edge Windows,POST,/dashboard,401,FAILED,5,SID-649211,High,Brute Force
